"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"10-Apr-2024","EQ","442.55","458.60","442.10","439.85","455.50","456.35","452.40","487.60","221.15","1,58,25,331","7,15,93,72,162.80","1,52,800"
"09-Apr-2024","EQ","448.70","450.30","437.25","447.40","440.60","439.85","441.94","487.60","221.15","80,05,012","3,53,77,35,852.60","97,059"
"08-Apr-2024","EQ","449.00","450.45","444.55","446.95","447.00","447.40","447.40","487.60","221.15","39,80,972","1,78,10,89,273.75","65,728"
"05-Apr-2024","EQ","448.75","448.85","444.00","448.85","447.05","446.95","446.86","487.60","213.80","48,20,138","2,15,39,19,586.45","65,669"
"04-Apr-2024","EQ","450.00","453.50","442.55","445.50","450.00","448.85","448.55","487.60","213.80","1,47,43,020","6,61,29,44,787.55","1,82,305"
"03-Apr-2024","EQ","443.20","447.00","440.90","443.20","446.20","445.50","445.39","487.60","213.80","69,72,648","3,10,55,41,661.45","85,482"
"02-Apr-2024","EQ","442.05","448.30","436.05","442.05","443.40","443.20","442.10","487.60","213.80","1,15,30,800","5,09,77,42,466.30","1,04,673"
"01-Apr-2024","EQ","436.70","443.80","434.80","434.10","442.00","442.05","440.74","487.60","213.80","72,56,592","3,19,82,36,923.80","82,433"
"28-Mar-2024","EQ","430.00","438.45","430.00","429.45","433.95","434.10","434.51","487.60","207.60","1,03,32,853","4,48,97,28,594.25","1,13,800"
"27-Mar-2024","EQ","439.80","439.80","426.05","435.95","431.50","429.45","431.69","487.60","207.60","1,79,85,246","7,76,39,78,161.80","1,33,365"
"26-Mar-2024","EQ","433.80","440.95","430.90","431.95","435.75","435.95","437.01","487.60","207.60","93,89,403","4,10,32,82,216.35","1,31,771"
"22-Mar-2024","EQ","430.90","436.20","428.30","432.05","432.20","431.95","432.33","487.60","207.60","91,72,888","3,96,57,51,605.10","1,18,348"
"21-Mar-2024","EQ","424.00","433.55","423.15","419.50","432.45","432.05","429.47","487.60","207.60","99,11,230","4,25,65,71,231.75","1,20,158"
